X,Y,Z,FilePath
-2,-2,-2,Screenshot_0.png
-2,-2,-2,Screenshot_0.png
-2,-2,-1.8,Screenshot_1.png
-2,-2,-1.6,Screenshot_2.png
-2,-2,-1.4,Screenshot_3.png
-2,-2,-1.2,Screenshot_4.png
-2,-2,-1,Screenshot_5.png
-2,-2,-0.8,Screenshot_6.png
-2,-2,-0.6,Screenshot_7.png
-2,-2,-0.4,Screenshot_8.png
-2,-2,-0.2,Screenshot_9.png
-2,-2,0,Screenshot_10.png
-2,-2,0.2,Screenshot_11.png
-2,-2,0.4,Screenshot_12.png
-2,-2,0.6,Screenshot_13.png
-2,-2,0.8,Screenshot_14.png
-2,-2,1,Screenshot_15.png
-2,-2,1.2,Screenshot_16.png
-2,-2,1.4,Screenshot_17.png
-2,-2,1.6,Screenshot_18.png
-2,-2,1.8,Screenshot_19.png
-2,-1.8,-2,Screenshot_20.png
-2,-1.8,-1.8,Screenshot_21.png
-2,-1.8,-1.6,Screenshot_22.png
-2,-1.8,-1.4,Screenshot_23.png
-2,-1.8,-1.2,Screenshot_24.png
-2,-1.8,-1,Screenshot_25.png
-2,-1.8,-0.8,Screenshot_26.png
-2,-1.8,-0.6,Screenshot_27.png
-2,-1.8,-0.4,Screenshot_28.png
-2,-1.8,-0.2,Screenshot_29.png
-2,-1.8,0,Screenshot_30.png
-2,-1.8,0.2,Screenshot_31.png
-2,-1.8,0.4,Screenshot_32.png
-2,-1.8,0.6,Screenshot_33.png
-2,-1.8,0.8,Screenshot_34.png
-2,-1.8,1,Screenshot_35.png
-2,-1.8,1.2,Screenshot_36.png
-2,-1.8,1.4,Screenshot_37.png
-2,-1.8,1.6,Screenshot_38.png
-2,-1.8,1.8,Screenshot_39.png
-2,-1.6,-2,Screenshot_40.png
-2,-1.6,-1.8,Screenshot_41.png
-2,-1.6,-1.6,Screenshot_42.png
-2,-1.6,-1.4,Screenshot_43.png
-2,-1.6,-1.2,Screenshot_44.png
-2,-1.6,-1,Screenshot_45.png
-2,-1.6,-0.8,Screenshot_46.png
-2,-1.6,-0.6,Screenshot_47.png
-2,-1.6,-0.4,Screenshot_48.png
-2,-1.6,-0.2,Screenshot_49.png
-2,-1.6,0,Screenshot_50.png
-2,-1.6,0.2,Screenshot_51.png
-2,-1.6,0.4,Screenshot_52.png
-2,-1.6,0.6,Screenshot_53.png
-2,-1.6,0.8,Screenshot_54.png
-2,-1.6,1,Screenshot_55.png
-2,-1.6,1.2,Screenshot_56.png
-2,-1.6,1.4,Screenshot_57.png
-2,-1.6,1.6,Screenshot_58.png
-2,-1.6,1.8,Screenshot_59.png
-2,-1.4,-2,Screenshot_60.png
-2,-1.4,-1.8,Screenshot_61.png
-2,-1.4,-1.6,Screenshot_62.png
-2,-1.4,-1.4,Screenshot_63.png
-2,-1.4,-1.2,Screenshot_64.png
-2,-1.4,-1,Screenshot_65.png
-2,-1.4,-0.8,Screenshot_66.png
-2,-1.4,-0.6,Screenshot_67.png
-2,-1.4,-0.4,Screenshot_68.png
-2,-1.4,-0.2,Screenshot_69.png
-2,-1.4,0,Screenshot_70.png
-2,-1.4,0.2,Screenshot_71.png
-2,-1.4,0.4,Screenshot_72.png
-2,-1.4,0.6,Screenshot_73.png
-2,-1.4,0.8,Screenshot_74.png
-2,-1.4,1,Screenshot_75.png
-2,-1.4,1.2,Screenshot_76.png
-2,-1.4,1.4,Screenshot_77.png
-2,-1.4,1.6,Screenshot_78.png
-2,-1.4,1.8,Screenshot_79.png
-2,-1.2,-2,Screenshot_80.png
-2,-1.2,-1.8,Screenshot_81.png
-2,-1.2,-1.6,Screenshot_82.png
-2,-1.2,-1.4,Screenshot_83.png
-2,-1.2,-1.2,Screenshot_84.png
-2,-1.2,-1,Screenshot_85.png
-2,-1.2,-0.8,Screenshot_86.png
-2,-1.2,-0.6,Screenshot_87.png
-2,-1.2,-0.4,Screenshot_88.png
-2,-1.2,-0.2,Screenshot_89.png
-2,-1.2,0,Screenshot_90.png
-2,-1.2,0.2,Screenshot_91.png
